model,test,pairing_id,round,strategy_1,strategy_2,move_strategy_1,move_strategy_2,payoff_strategy_1,payoff_strategy_2,cooperation_rate,mutual_cooperation
GPT4.1,TFT v AC,5,9,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,5,10,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,6,1,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,6,2,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,6,3,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,6,4,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,6,5,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,6,6,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,6,7,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,7,1,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,7,2,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,7,3,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,7,4,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,7,5,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,7,6,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,8,1,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,8,2,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,8,3,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,8,4,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,8,5,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,8,6,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,8,7,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,9,1,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,9,2,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,9,3,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,9,4,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,9,5,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,9,6,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,9,7,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,9,8,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,9,9,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,9,10,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,9,11,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,9,12,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,9,13,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,0,1,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,0,2,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,0,3,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,0,4,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,0,5,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,0,6,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,0,7,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,1,1,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,1,2,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,1,3,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,1,4,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,1,5,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,1,6,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,1,7,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,1,8,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,2,1,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,2,2,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,2,3,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,2,4,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,2,5,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,2,6,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,2,7,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,2,8,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,3,1,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,3,2,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,3,3,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,3,4,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,3,5,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,3,6,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,4,1,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,4,2,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,4,3,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,4,4,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,5,1,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,5,2,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,5,3,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,5,4,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,5,5,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,5,6,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,5,7,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,5,8,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,5,9,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,5,10,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,5,11,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,5,12,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,5,13,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,5,14,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,6,1,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,6,2,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,6,3,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,6,4,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,6,5,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,6,6,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,6,7,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,6,8,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,7,1,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,7,2,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,7,3,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,7,4,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,7,5,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,7,6,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,7,7,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,7,8,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,7,9,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,7,10,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,8,1,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,8,2,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,8,3,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,8,4,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,8,5,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,8,6,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,8,7,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,8,8,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,8,9,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,8,10,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,8,11,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,8,12,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,8,13,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,8,14,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,8,15,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,8,16,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,8,17,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,8,18,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,8,19,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,8,20,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,9,1,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,9,2,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,9,3,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,9,4,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,9,5,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,9,6,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AD,9,7,TFT,AD,defect,cooperate,5,0,0.5,0
GPT4.1,TFT v AD,9,8,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,9,9,TFT,AD,defect,defect,1,1,0,0
GPT4.1,TFT v AD,9,10,TFT,AD,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,1,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,2,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,3,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,4,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,5,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,6,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,7,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,8,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,9,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,10,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,11,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,12,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,13,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,0,14,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,1,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,2,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,3,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,4,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,5,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,6,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,7,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,8,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,9,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,10,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,11,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,12,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,13,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,1,14,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,1,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,2,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,3,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,4,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,5,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,6,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,7,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,8,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,9,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,10,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,11,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,12,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,13,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,14,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,15,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,16,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,2,17,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,3,1,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,3,2,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,3,3,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,3,4,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,3,5,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,3,6,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,3,7,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,3,8,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,3,9,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,3,10,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,3,11,TFT,Pav,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v Pav,3,12,TFT,Pav,cooperate,cooperate,3,3,1,1
